nome,nascimento,email,genero,estado_civil,etinia,familia,orientacao_sexual,atividade,media,dimensao1,dimensao2,dimensao3,dimensao4,dimensao5,dimensao6,dimensao7,dimensao8,dimensao9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36
Arthur Jacobson,2000-12-12,user11@example.com,Masculino,Solteiro(a),Preto,Classe média baixa,Heterossexual,formação de palavras usando sílabas,3.072222222,3.25,4.25,2.25,3,4.5,3.4,2.25,3,1.75,3,1,5,4,4,4,5,4,2,1,4,2,4,1,4,3,5,3,5,5,4,2,4,1,2,5,1,1,3,5,3,1,3,1,1,2
Suzanna Cook,1998-12-01,user12@example.com,Femenino,Casado(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,2.155555556,1.25,2,3.5,2.75,2.25,1.4,3,1.5,1.75,1,1,2,1,2,1,3,2,5,2,2,5,3,2,4,2,2,1,3,3,1,1,2,2,3,3,3,3,2,2,1,1,2,1,1,3
Lorelai Tran,2000-02-02,user13@example.com,Masculino,Casado(a),Branco,Classe média baixa,Heterossexual,formação de palavras usando sílabas,1.95,2,1.25,2.75,2,2,1.8,2.25,1.75,1.75,2,2,2,2,1,1,1,2,4,1,5,1,1,1,1,5,1,1,3,3,1,3,3,2,3,2,3,1,4,1,1,1,2,1,3,1
Paul Bass,2000-12-12,user14@example.com,Masculino,Casado(a),Preto,Classe baixa,Heterossexual,formação de palavras usando sílabas,2.088888889,1.5,1.75,2.5,2.75,2,1.8,2,2.25,2.25,1,1,1,3,2,2,1,2,3,3,2,2,2,3,2,4,3,3,1,1,3,1,1,3,3,2,2,1,3,2,2,2,1,2,4,2
Dewi Dunn,1998-12-01,user15@example.com,Femenino,Solteiro(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,1.911111111,2,1.5,1.5,2,2.25,2.2,2.25,1.5,2,1,2,2,3,1,1,3,1,1,1,3,1,1,5,1,1,5,1,1,2,2,1,2,1,2,2,3,2,3,1,1,1,2,2,3,1
Britany Rose,2000-02-13,user16@example.com,Masculino,Solteiro(a),Preto,Classe baixa,Heterossexual,formação de palavras usando sílabas,4.083333333,3,4,4.25,4.5,4,4,5,4.75,3.25,3,3,2,4,2,5,4,5,4,5,5,3,3,5,5,5,3,4,4,5,4,4,3,4,5,5,5,5,5,4,5,5,5,3,1,4
Frederic Sullivan,2000-09-13,user17@example.com,Femenino,Solteiro(a),Branco,Classe alta,Bissexual,formação de palavras usando sílabas,2.061111111,2,2.25,2.75,2.5,1.75,1.8,2.25,1,2.25,3,1,1,3,3,1,3,2,5,3,2,1,1,5,1,3,2,2,2,1,1,2,2,3,3,1,3,2,1,1,1,1,2,2,3,2
Arisha White,1998-12-01,user18@example.com,Femenino,Casado(a),Branco,Classe baixa,Homosexual,formação de palavras usando sílabas,3.938888889,3.5,4.75,4.5,3.25,2.75,4.2,3.25,5,4.25,2,4,4,4,5,5,5,4,4,4,5,5,5,4,3,1,1,3,3,4,5,5,5,4,3,3,3,4,5,5,5,5,4,5,4,4
Hector Macdonald,2000-02-13,user19@example.com,Femenino,Casado(a),Preto,Classe baixa,Homosexual,formação de palavras usando sílabas,2.738888889,3.25,2.25,4.25,2.25,1.75,3.4,2.5,2,3,5,2,1,5,1,3,2,3,4,4,4,5,1,4,3,1,1,1,4,1,2,3,3,4,1,3,3,3,1,1,1,5,2,2,4,4
Jamil Searle,2000-12-12,user20@example.com,Femenino,Casado(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,2.916666667,2.75,3,3.75,2.5,2.25,3,4.25,1.75,3,4,5,1,1,2,5,3,2,4,1,5,5,3,1,4,2,2,4,1,2,3,5,1,3,4,4,5,4,2,1,2,2,2,5,3,2
Amalie Cortez,1998-12-01,user21@example.com,Femenino,Solteiro(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,4.161111111,4.25,5,4.25,4.25,4.25,4.2,4.5,3.5,3.25,4,4,4,5,5,5,5,5,4,4,5,4,5,5,4,3,4,5,5,3,4,3,5,3,5,3,5,5,4,3,3,4,3,4,3,3
Kyron Philip,2000-02-13,user22@example.com,Masculino,Solteiro(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,2.633333333,2.25,1.75,2.75,2,3.75,3.2,1.5,4.25,2.25,1,5,1,2,1,3,2,1,3,2,1,5,1,3,3,1,5,2,4,4,3,5,1,4,2,1,2,1,4,4,4,5,1,2,5,1
Brad Rutledge,2000-12-12,user23@example.com,Masculino,Solteiro(a),Preto,Classe baixa,Heterossexual,formação de palavras usando sílabas,3.972222222,3.25,3.75,3.75,4,4.75,4,3.75,4.5,4,5,1,3,4,2,5,4,4,5,4,4,2,4,3,5,4,5,5,5,4,5,3,4,4,1,5,5,4,4,5,5,4,5,5,1,5
Mariyam Shepherd,1998-12-01,user24@example.com,Femenino,Casado(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,2.838888889,3.25,1.5,2,3.75,2.75,3.8,2.25,3.25,3,4,5,2,2,1,2,2,1,2,3,2,1,4,5,4,2,4,2,3,2,3,2,4,4,1,1,4,3,5,2,1,5,5,4,1,2
Haleemah Spooner,2000-02-13,user25@example.com,Femenino,Casado(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,4.272222222,3.75,4.5,4.5,4.25,4,4.2,5,4.25,4,1,5,5,4,4,5,5,4,4,5,4,5,5,4,3,5,3,3,5,5,3,5,5,4,5,5,5,5,5,4,3,5,5,4,4,3
Enid Knox,2000-12-12,user26@example.com,Masculino,Casado(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,2.666666667,3,3.25,2,1.5,2.5,3,1.75,3.75,3.25,1,2,4,5,2,1,5,5,4,1,1,2,2,1,2,1,4,3,1,2,3,3,3,5,2,3,1,1,5,4,5,1,1,4,4,4
Mamie Rangel,1998-12-01,user27@example.com,Femenino,Solteiro(a),Preto,Classe baixa,Heterossexual,formação de palavras usando sílabas,3.077777778,2.5,2,3.5,3.5,2.5,3.2,3.75,3.25,3.5,3,1,3,3,4,2,1,1,3,2,4,5,4,5,4,1,1,3,1,5,3,3,3,2,2,4,4,5,3,3,2,5,3,5,1,5
Ella-Mae Mccarty,1999-11-10,user28@example.com,Masculino,Solteiro(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,2.361111111,2.25,1.5,4.5,2.75,2,2,2.25,2.5,1.5,3,2,1,3,3,1,1,1,5,5,5,3,4,1,1,5,1,1,3,3,2,2,2,2,2,3,2,2,4,2,2,2,1,1,2,2
Hamid Needham,1998-12-01,user30@example.com,Femenino,Casado(a),Preto,Classe média baixa,Bissexual,formação de palavras usando sílabas,3.714285714,3.25,2.25,3,3,4,3.75,2.75,1.75,2.25,4,1,2,2,3,2,3,2,4,4,2,4,4,5,5,1,2,2,4,2,2,2,4,4,3,2,2,1,4,4,4,4,4,4,1,1
Mina Whittle,2000-02-13,user31@example.com,Masculino,Casado(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,2.6,2.5,2.25,2.25,2.75,2.25,3.4,3.5,2,2.5,3,2,2,3,4,2,1,2,2,1,1,5,2,3,5,1,4,1,1,3,4,3,4,5,5,2,4,3,3,2,1,2,3,2,1,4
Shannan Moon,2000-12-12,user32@example.com,Masculino,Casado(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,4.094444444,4,4.75,4.5,4,4.25,3.6,3.25,4.5,4,3,4,4,5,4,5,5,5,5,4,5,4,5,5,5,1,3,4,5,5,4,3,1,4,1,4,5,3,5,4,5,4,2,5,4,5
Shanay Drummond,1998-12-01,user33@example.com,Femenino,Solteiro(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,3.361111111,3,2.5,4.25,2.5,3.75,4,3.75,3.5,3,4,1,2,5,3,2,1,4,4,4,5,4,1,4,2,3,5,2,4,4,5,1,1,4,4,5,5,1,1,3,5,5,5,3,2,2
Franklyn Clegg,2000-02-13,user34@example.com,Masculino,Solteiro(a),Preto,Classe média baixa,Bissexual,formação de palavras usando sílabas,3.983333333,4.25,4.25,4.75,4.5,4,2.6,3.75,4.25,3.5,4,4,5,4,4,4,5,4,5,5,4,5,5,5,3,5,2,5,5,4,3,5,5,5,4,5,3,3,3,5,5,4,4,4,3,3
Ameera Santana,2000-07-12,user35@example.com,Masculino,Solteiro(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,3.85,3.25,4.25,4.25,4,3.75,4.4,3.75,3.5,3.5,1,4,4,4,4,4,5,4,4,4,5,4,5,5,2,4,3,4,3,5,4,3,4,5,5,4,3,3,5,3,3,3,4,3,3,4
Isobel Tanner,1998-12-01,user36@example.com,Femenino,Casado(a),Branco,Classe alta,Bissexual,formação de palavras usando sílabas,1.905555556,2.25,1.75,1.5,2.75,1.5,2.4,1.75,1.5,1.75,2,2,3,2,1,2,1,3,1,1,3,1,5,2,2,2,3,1,1,1,1,3,2,2,1,2,2,2,1,2,1,2,2,2,2,1
Hattie Dickens,2000-02-13,user37@example.com,Femenino,Casado(a),Branco,Classe baixa,Homosexual,formação de palavras usando sílabas,4.055555556,3.25,4.5,4.5,3.25,3.75,4,4.5,4.5,4.25,1,2,5,5,3,5,5,5,4,5,5,4,2,5,3,3,3,4,5,3,4,5,4,3,4,5,4,5,5,4,5,4,5,4,3,5
Maddy Finley,2000-12-12,user38@example.com,Masculino,Casado(a),Preto,Classe média baixa,Bissexual,formação de palavras usando sílabas,3.811111111,2.75,4.5,4.25,4.25,3.75,2.8,4,4.5,3.5,2,4,2,3,3,5,5,5,5,5,5,2,4,3,5,5,3,4,3,5,4,3,4,4,4,4,4,4,4,5,4,5,4,3,3,4
Kaiden Witt,1998-12-01,user39@example.com,Femenino,Solteiro(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,2.605555556,1.75,1.5,3.25,4,2.25,4.2,2.25,2.25,2,1,1,2,3,2,2,1,1,2,3,4,4,5,3,3,5,3,3,2,1,3,1,3,2,2,3,2,2,4,1,2,2,1,1,3,3
Juno Piper,2000-02-13,user40@example.com,Masculino,Solteiro(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,3.244444444,4,3,3.75,2.25,3.25,3.2,3.75,3,3,3,5,4,4,4,5,2,1,1,4,5,5,3,1,2,3,5,1,3,4,5,3,1,3,3,4,4,4,1,5,3,3,5,1,3,3
Maksymilian Bloggs,2001-05-04,user41@example.com,Masculino,Solteiro(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,3.466666667,3.25,3.25,4,3.75,3.5,3.2,2.75,4,3.5,5,2,3,3,3,3,4,3,5,3,5,3,5,2,3,5,5,5,2,2,1,2,3,5,3,3,2,3,5,4,5,2,5,1,3,5
Mahek Mcdaniel,1998-12-01,user42@example.com,Femenino,Casado(a),Preto,Classe média baixa,Bissexual,formação de palavras usando sílabas,3.194444444,3,3.25,3.25,4.75,2.75,3,2.75,3.25,2.75,3,1,3,5,3,2,5,3,3,4,4,2,5,4,5,5,2,3,4,2,2,3,5,5,1,2,4,4,3,3,2,5,2,3,2,4
Benito Wang,2000-02-13,user43@example.com,Femenino,Casado(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,4.1,3.75,4.25,4.5,4,4,4.4,4.75,3.5,3.75,1,5,5,4,5,4,4,4,5,4,4,5,4,4,3,5,4,5,4,3,5,3,5,5,5,5,4,5,5,3,3,3,4,5,3,3
Eamon Daniel,2000-12-12,user44@example.com,Masculino,Casado(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,3.988888889,3.25,4,4,2.5,4.25,4.4,4.5,4.75,4.25,4,4,1,4,2,4,5,5,5,4,5,2,1,3,3,3,4,5,5,3,3,5,5,4,5,4,5,4,5,4,5,5,3,5,4,5
Bryce Dalby,1998-12-01,user45@example.com,Femenino,Solteiro(a),Preto,Classe baixa,Heterossexual,formação de palavras usando sílabas,2.338888889,2.75,1.75,3.75,2.5,3.25,1.8,2.25,2,1,3,2,3,3,2,1,2,2,3,3,5,4,2,1,4,3,5,3,3,2,1,2,3,3,3,1,2,3,3,2,2,1,1,1,1,1
Akaash Foster,2000-02-13,user46@example.com,Masculino,Solteiro(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,4.428571429,3.25,4,4,3.25,2.75,3.5,3.5,3.25,3.5,3,4,4,3,2,4,4,4,4,3,4,4,4,2,2,2,2,2,3,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,3,4
Eamonn Reyna,2000-12-12,user47@example.com,Femenino,Solteiro(a),Preto,Classe baixa,Heterossexual,formação de palavras usando sílabas,2.244444444,2.75,1.75,2.75,3,2.25,2.2,1.75,2,1.75,3,2,3,3,1,1,2,3,1,2,5,3,4,1,3,4,1,3,2,3,3,3,2,3,3,1,1,2,3,2,2,1,2,1,1,3
Jardel Hurley,1998-12-01,user48@example.com,Femenino,Casado(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,2.638888889,4,3,1.5,3.5,2,1,3,3.25,2.5,5,3,3,5,2,1,4,5,1,2,1,2,3,3,5,3,2,1,4,1,2,4,1,3,1,2,4,5,5,2,2,4,1,5,3,1
Zachery Luna,1999-08-11,user49@example.com,Masculino,Casado(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,3.15,2.25,3.75,4,3.75,3,2.6,2.5,3.75,2.75,3,4,1,1,3,4,5,3,5,4,3,4,4,2,5,4,4,3,1,4,4,5,3,2,2,3,2,3,4,5,2,4,4,3,2,2
Miguel Mcintosh,2000-06-14,user50@example.com,Masculino,Solteiro(a),Preto,Classe alta,Heterossexual,formação de palavras usando sílabas,2.688888889,3.5,2.5,2.25,2,3,3.2,2,3.25,2.5,5,3,5,1,1,1,5,3,3,1,1,4,1,3,1,3,1,1,5,5,1,1,4,4,5,1,1,1,1,4,5,3,5,2,2,1
Joss Devlin,1998-12-01,user51@example.com,Femenino,Solteiro(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,2.627777778,2,2.5,2.75,1.5,3.5,3.4,3.5,2,2.5,2,1,2,3,3,2,2,3,2,1,3,5,3,1,1,1,3,4,2,5,4,4,3,5,3,3,5,3,4,1,1,2,5,1,3,1
Rudra Haley,2000-02-13,user52@example.com,Masculino,Casado(a),Branco,Classe média baixa,Heterossexual,formação de palavras usando sílabas,2.011111111,1.25,1.25,2.25,2.5,2.75,1.6,2.25,1.5,2.75,2,1,1,1,1,2,1,1,4,1,1,3,5,3,1,1,4,3,2,2,2,1,2,2,1,3,2,3,2,2,1,1,2,2,5,2
Abdurahman Ferrell,2000-12-12,user53@example.com,NA,Solteiro(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,3.666666667,1,4,4.25,4,3.5,4,4.5,4.25,3.5,1,1,1,1,1,5,5,5,5,4,5,3,4,4,5,3,4,3,4,3,3,5,3,5,5,4,4,5,4,4,5,4,3,4,3,4
Lewis Whitfield,1998-12-01,user54@example.com,NA,Solteiro(a),Preto,Classe média baixa,Heterossexual,formação de palavras usando sílabas,2.183333333,1.25,2.75,3.75,2.25,2.25,2.4,2,1.5,1.5,1,2,1,1,2,3,3,3,5,1,5,4,1,3,3,2,2,3,1,3,1,3,2,1,2,2,2,2,1,2,1,2,2,1,1,2
Uzair Sargent,1999-03-18,user55@example.com,NA,Casado(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,1.327777778,1.5,1,1,1,1,3.2,1,1,1.25,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Anabel Rivas,1999-02-12,user5123@example.com,NA,Casado(a),Branco,Classe alta,Bissexual,formação de palavras usando sílabas,3.283333333,3,3,4,3.5,3.25,3.8,3.25,3,2.75,5,3,1,3,1,4,4,3,4,2,5,5,4,5,3,2,1,5,4,3,5,3,1,5,3,4,2,4,4,1,2,5,3,4,2,2
Santino Miranda,1998-12-01,user63@example.com,NA,Casado(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,2.172222222,2.25,1.25,3.25,3.25,1.25,1.8,2.75,1.5,2.25,3,1,3,2,1,1,1,2,2,4,5,2,4,3,5,1,2,1,1,1,1,1,2,3,3,3,2,3,1,2,2,1,2,2,2,3
Ellie-Rose Ellis,2000-03-29,user5212@example.com,NA,Solteiro(a),Preto,Classe média baixa,Bissexual,formação de palavras usando sílabas,3.094444444,3.75,2.5,3.25,4.75,3,1.6,4,3.25,1.75,4,3,3,5,1,4,1,4,4,1,5,3,5,4,5,5,3,3,1,5,4,1,3,4,5,2,4,5,3,4,3,3,2,2,1,2
Tallulah Berry,2000-04-16,user532@example.com,NA,Solteiro(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,4.094444444,4.25,4.5,4.5,2.75,4,4.6,4,4,4.25,3,4,5,5,5,5,4,4,4,5,4,5,5,4,1,1,3,5,5,3,4,3,5,3,5,4,3,4,4,3,4,5,4,5,4,4
Byron Wilks,1998-12-01,user344@example.com,NA,Solteiro(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,2.205555556,2,2,3.25,2.75,3,1.6,1.75,2,1.5,3,1,1,3,3,2,2,1,2,4,4,3,3,1,2,5,5,2,3,2,1,2,2,1,1,2,1,3,5,1,1,1,1,1,3,1

